Time,Temperature (C),Humidity (%)
10:25:57,19.0,48.0
10:25:59,19.0,48.0
10:26:00,19.0,48.0
10:26:02,19.0,48.0
10:26:04,19.0,48.0
10:26:05,19.0,48.0
10:26:07,19.0,48.0
10:26:08,19.0,48.0
10:26:10,19.0,48.0
10:26:11,19.0,48.0
10:26:13,19.0,48.0
10:26:14,19.0,48.0
10:26:16,19.0,48.0
10:26:18,19.0,48.0
10:26:19,19.0,47.0
10:26:21,19.0,48.0
10:26:22,19.0,48.0
10:26:24,19.0,48.0
10:26:25,19.0,48.0
10:26:27,19.0,48.0
10:26:28,19.0,48.0
10:26:30,19.0,48.0
10:26:32,19.0,48.0
10:26:34,19.0,47.0
10:26:35,19.0,48.0
10:26:37,19.0,48.0
10:26:38,19.0,48.0
10:26:40,19.0,48.0
10:26:42,19.0,48.0
10:26:44,19.0,48.0
10:26:45,19.0,47.0
10:26:47,19.0,48.0
10:26:48,19.0,48.0
10:26:50,19.0,48.0
10:26:51,19.0,48.0
10:26:53,19.0,48.0
10:26:54,19.0,48.0
10:26:56,19.0,48.0
10:26:58,19.0,48.0
10:26:59,19.0,48.0
10:27:01,19.0,48.0
10:27:03,19.0,48.0
10:27:04,19.0,47.0
10:27:06,19.0,48.0
10:27:07,19.0,48.0
10:27:09,19.0,48.0
10:27:10,19.0,48.0
10:27:12,19.0,48.0
10:27:13,19.0,48.0
10:27:15,19.0,48.0
10:27:16,19.0,48.0
10:27:18,19.0,48.0
10:27:19,19.0,48.0
10:27:21,19.0,48.0
10:27:23,19.0,48.0
10:27:25,19.0,47.0
10:27:26,19.0,48.0
10:27:28,19.0,48.0
10:27:30,19.0,48.0
10:27:31,19.0,47.0
10:27:33,19.0,48.0
10:27:34,19.0,48.0
10:27:36,19.0,48.0
10:27:37,19.0,48.0
10:27:39,19.0,48.0
10:27:40,19.0,48.0
10:27:42,19.0,47.0
10:27:43,19.0,48.0
10:27:45,19.0,48.0
10:27:46,19.0,48.0
10:27:48,19.0,48.0
10:27:49,19.0,48.0
10:27:51,19.0,48.0
10:27:53,19.0,48.0
10:27:54,19.0,48.0
10:27:56,19.0,48.0
10:27:57,19.0,48.0
10:27:59,19.0,48.0
10:28:00,19.0,48.0
10:28:02,19.0,48.0
10:28:03,19.0,48.0
10:28:05,19.0,48.0
10:28:06,19.0,48.0
10:28:08,19.0,48.0
10:28:09,19.0,48.0
10:28:11,19.0,48.0
10:28:12,19.0,48.0
10:28:14,19.0,48.0
10:28:16,19.0,47.0
10:28:18,19.0,48.0
10:28:19,19.0,48.0
10:28:21,19.0,48.0
10:28:22,19.0,48.0
10:28:24,19.0,48.0
10:28:26,19.0,48.0
10:28:28,19.0,48.0
10:28:29,19.0,48.0
10:28:31,19.0,48.0
10:28:32,19.0,48.0
10:28:34,19.0,48.0
10:28:35,19.0,48.0
10:28:37,19.0,48.0
10:28:38,19.0,48.0
